sample	num_bases
SAMEA103892567	547000000
SAMEA103892558	412000000
SAMEA103892589	499000000
SAMEA103892603	559000000
SAMEA103892508	138000000
SAMEA103892586	547000000
SAMEA103892545	1773000000
SAMEA103892498	450000000
SAMEA103892554	450000000
SAMEA103892507	538000000
SAMEA103892457	5576000000
SAMEA103892519	549000000
SAMEA103892523	572000000
SAMEA103892531	493000000
SAMEA103892604	433000000
SAMEA103892459	5807000000
SAMEA103892613	643000000
SAMEA103892540	548000000
SAMEA103892576	572000000
SAMEA103892445	464000000
SAMEA103892597	509000000
SAMEA103892509	697000000
SAMEA103892542	782000000
SAMEA103892551	569000000
SAMEA103892441	518000000
SAMEA103892599	489000000
SAMEA103892435	1287000000
SAMEA103892465	8697000000
SAMEA103892521	572000000
SAMEA103892585	319000000
SAMEA103892500	8949000000
SAMEA103892475	563000000
SAMEA103892579	386000000
SAMEA103892516	8485000000
SAMEA103892546	585000000
SAMEA103892495	8959000000
SAMEA103892453	414000000
SAMEA103892529	817000000
SAMEA103892557	797000000
SAMEA103892434	2813000000
SAMEA103892456	8063000000
SAMEA103892619	6032000000
SAMEA103892560	1083000000
SAMEA103892606	413000000
SAMEA103892484	494000000
SAMEA103892547	584000000
SAMEA103892488	500000000
SAMEA103892573	544000000
SAMEA103892564	485000000
SAMEA103892552	478000000
SAMEA103892543	296000000
SAMEA103892491	499000000
SAMEA103892525	482000000
SAMEA103892575	419000000
SAMEA103892565	297000000
SAMEA103892448	409000000
SAMEA103892524	408000000
SAMEA103892593	587000000
SAMEA103892598	423000000
SAMEA103892442	492000000
SAMEA103892451	218000000
SAMEA103892468	6184000000
SAMEA103892513	10654000000
SAMEA103892609	3559000000
SAMEA103892454	7374000000
SAMEA103892449	206000000
SAMEA103892447	485000000
SAMEA103892530	917000000
SAMEA103892477	686000000
SAMEA103892612	490000000
SAMEA103892520	10600000000
SAMEA103892510	587000000
SAMEA103892611	1027000000
SAMEA103892450	330000000
SAMEA103892493	449000000
SAMEA103892605	4183000000
SAMEA103892471	3742000000
SAMEA103892587	466000000
SAMEA103892469	445000000
SAMEA103892458	7275000000
SAMEA103892600	884000000
SAMEA103892538	439000000
SAMEA103892499	495000000
SAMEA103892481	438000000
SAMEA103892580	510000000
SAMEA103892496	490000000
SAMEA103892511	2288000000
SAMEA103892594	288000000
SAMEA103892582	476000000
SAMEA103892615	419000000
SAMEA103892537	588000000
SAMEA103892534	1836000000
SAMEA103892620	851000000
SAMEA103892474	9060000000
SAMEA103892518	890000000
SAMEA103892476	1630000000
SAMEA103892497	517000000
SAMEA103892614	545000000
SAMEA103892478	5671000000
SAMEA103892467	7841000000
SAMEA103892517	1108000000
SAMEA103892470	413000000
SAMEA103892556	395000000
SAMEA103892581	731000000
SAMEA103892432	2749000000
SAMEA103892504	531000000
SAMEA103892482	437000000
SAMEA103892490	535000000
SAMEA103892596	343000000
SAMEA103892535	636000000
SAMEA103892555	593000000
SAMEA103892536	486000000
SAMEA103892616	596000000
SAMEA103892489	554000000
SAMEA103892572	1154000000
SAMEA103892592	490000000
SAMEA103892607	636000000
SAMEA103892602	882000000
SAMEA103892583	384000000
SAMEA103892443	367000000
SAMEA103892570	529000000
SAMEA103892436	1244000000
SAMEA103892512	1183000000
SAMEA103892515	2082000000
SAMEA103892466	10289000000
SAMEA103892617	425000000
SAMEA103892588	456000000
SAMEA103892595	463000000
SAMEA103892461	7507000000
SAMEA103892438	563000000
SAMEA103892440	676000000
SAMEA103892505	541000000
SAMEA103892569	376000000
SAMEA103892553	286000000
SAMEA103892464	5670000000
SAMEA103892544	1010000000
SAMEA103892541	669000000
SAMEA103892486	553000000
SAMEA103892601	523000000
SAMEA103892571	540000000
SAMEA103892533	568000000
SAMEA103892527	2803000000
SAMEA103892506	8501000000
SAMEA103892439	1257000000
SAMEA103892444	416000000
SAMEA103892550	316000000
SAMEA103892503	517000000
SAMEA103892539	392000000
SAMEA103892574	427000000
SAMEA103892514	4893000000
SAMEA103892522	827000000
SAMEA103892487	572000000
SAMEA103892494	544000000
SAMEA103892472	9112000000
SAMEA103892480	411000000
SAMEA103892528	3194000000
SAMEA103892462	12434000000
SAMEA103892455	7295000000
SAMEA103892433	734000000
SAMEA103892566	556000000
SAMEA103892591	219000000
SAMEA103892502	537000000
SAMEA103892549	432000000
SAMEA103892578	536000000
SAMEA103892446	571000000
SAMEA103892584	424000000
SAMEA103892452	1572000000
SAMEA103892561	362000000
SAMEA103892437	1372000000
SAMEA103892483	298000000
SAMEA103892479	468000000
SAMEA103892485	168000000
SAMEA103892568	570000000
SAMEA103892608	5178000000
SAMEA103892563	492000000
SAMEA103892460	8973000000
SAMEA103892562	548000000
SAMEA103892463	6537000000
SAMEA103892577	485000000
SAMEA103892610	987000000
SAMEA103892492	503000000
SAMEA103892548	568000000
SAMEA103892559	368000000
SAMEA103892501	481000000
SAMEA103892590	601000000
SAMEA103892618	1116000000
