run	bioproject	Gbp	library_strategy	library_selection	model	sample_name	taxon_name	experiment_accession	experiment_title	library_name	library_source	submitter	study_accession	study_alias	study_centre_project_name	organisation	organisation_department	organisation_institution	organisation_street	organisation_city	organisation_country	organisation_contact_name	organisation_contact_email	sample_description	sample_alias	sample_accession	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	External Id	INSDC center name	INSDC first public	INSDC last update	INSDC status	Submitter Id	collection date	environment (biome)	environment (feature)	environment (material)	geographic location (country and/or sea)	geographic location (depth)	geographic location (elevation)	geographic location (latitude)	geographic location (longitude)	investigation type	project name	sample name	scientific_name	sequencing method	soil environmental package	study_title	design_description	study_abstract	study_links	number_of_runs_for_sample	spots	bases	run_size	published	read1_length_average	read1_length_stdev	read2_length_average	read2_length_stdev
ERR1877650	PRJEB18701	0.393	WGS	RANDOM	Illumina HiSeq 2500	S165	soil metagenome	ERX1938175	Illumina HiSeq 2500 paired end sequencing	unspecified	METAGENOMIC	European Nucleotide Archive	ERP020652	ena-STUDY-EMBL-20-12-2016-23:03:59:861-399	WorldSoil	European Molecular Biology Laboratory						 			SAMEA103892539	ERS1581707	2018-05-31T17:02:46Z	2017-03-06T16:33:19Z	SAMEA103892539	EMBL	2018-05-31T17:02:46Z	2017-03-06T16:33:19Z	public	S165	2014/2015	Tropical_montane_forests	-	soil	Mexico	0	0	22.1989	-102.60055	metagenome	18S metabarcoding data of global soil samples	S165	soil metagenome	Illumina	soil	Global analysis of soil microbiomes		Soils harbour some of the most diverse microbiomes on Earth and are essential for both nutrient cycling and carbon storage. To understand soil functioning, it is necessary to model the global distribution patterns and functional gene repertoires of soil microorganisms, as well as the biotic and environmental associations between the diversity and structure of both bacterial and fungal soil communities. Here we show, by leveraging metagenomics and metabarcoding of global topsoil samples (189 sites, 7,560 subsamples), that bacterial, but not fungal, genetic diversity is highest in temperate habitats and that microbial gene composition varies more strongly with environmental variables than with geographic distance. We demonstrate that fungi and bacteria show global niche differentiation that is associated with contrasting diversity responses to precipitation and soil pH. Furthermore, we provide evidence for strong bacterialâfungal antagonism, inferred from antibiotic-resistance genes, in topsoil and ocean habitats, indicating the substantial role of biotic interactions in shaping microbial communities. Our results suggest that both competition and environmental filtering affect the abundance, composition and encoded gene functions of bacterial and fungal communities, indicating that the relative contributions of these microorganisms to global nutrient cycling varies spatially.	"[{""db"": ""pubmed"", ""id"": ""30069051""}]"	1	782134	392631268	234372166	2018-07-04 10:39:43	251	0	251	0
ERR1877651	PRJEB18701	0.414	WGS	RANDOM	Illumina HiSeq 2500	S098	soil metagenome	ERX1938176	Illumina HiSeq 2500 paired end sequencing	unspecified	METAGENOMIC	European Nucleotide Archive	ERP020652	ena-STUDY-EMBL-20-12-2016-23:03:59:861-399	WorldSoil	European Molecular Biology Laboratory						 			SAMEA103892619	ERS1581787	2018-05-31T17:02:46Z	2017-03-06T16:33:21Z	SAMEA103892619	EMBL	2018-05-31T17:02:46Z	2017-03-06T16:33:21Z	public	S098	2014/2015	Moist_tropical_forests	-	soil	Sri Lanka	0	0	6.42497	80.41758	metagenome	18S metabarcoding data of global soil samples	S098	soil metagenome	Illumina	soil	Global analysis of soil microbiomes		Soils harbour some of the most diverse microbiomes on Earth and are essential for both nutrient cycling and carbon storage. To understand soil functioning, it is necessary to model the global distribution patterns and functional gene repertoires of soil microorganisms, as well as the biotic and environmental associations between the diversity and structure of both bacterial and fungal soil communities. Here we show, by leveraging metagenomics and metabarcoding of global topsoil samples (189 sites, 7,560 subsamples), that bacterial, but not fungal, genetic diversity is highest in temperate habitats and that microbial gene composition varies more strongly with environmental variables than with geographic distance. We demonstrate that fungi and bacteria show global niche differentiation that is associated with contrasting diversity responses to precipitation and soil pH. Furthermore, we provide evidence for strong bacterialâfungal antagonism, inferred from antibiotic-resistance genes, in topsoil and ocean habitats, indicating the substantial role of biotic interactions in shaping microbial communities. Our results suggest that both competition and environmental filtering affect the abundance, composition and encoded gene functions of bacterial and fungal communities, indicating that the relative contributions of these microorganisms to global nutrient cycling varies spatially.	"[{""db"": ""pubmed"", ""id"": ""30069051""}]"	1	825080	414190160	244240242	2018-07-04 10:39:43	251	0	251	0
ERR1877652	PRJEB18701	0.54	WGS	RANDOM	Illumina HiSeq 2500	S238	soil metagenome	ERX1938177	Illumina HiSeq 2500 paired end sequencing	unspecified	METAGENOMIC	European Nucleotide Archive	ERP020652	ena-STUDY-EMBL-20-12-2016-23:03:59:861-399	WorldSoil	European Molecular Biology Laboratory						 			SAMEA103892571	ERS1581739	2018-05-31T17:02:46Z	2017-03-06T16:33:20Z	SAMEA103892571	EMBL	2018-05-31T17:02:46Z	2017-03-06T16:33:20Z	public	S238	2014/2015	Boreal_forests	-	soil	Finland	0	0	68.96782	20.94322	metagenome	18S metabarcoding data of global soil samples	S238	soil metagenome	Illumina	soil	Global analysis of soil microbiomes		Soils harbour some of the most diverse microbiomes on Earth and are essential for both nutrient cycling and carbon storage. To understand soil functioning, it is necessary to model the global distribution patterns and functional gene repertoires of soil microorganisms, as well as the biotic and environmental associations between the diversity and structure of both bacterial and fungal soil communities. Here we show, by leveraging metagenomics and metabarcoding of global topsoil samples (189 sites, 7,560 subsamples), that bacterial, but not fungal, genetic diversity is highest in temperate habitats and that microbial gene composition varies more strongly with environmental variables than with geographic distance. We demonstrate that fungi and bacteria show global niche differentiation that is associated with contrasting diversity responses to precipitation and soil pH. Furthermore, we provide evidence for strong bacterialâfungal antagonism, inferred from antibiotic-resistance genes, in topsoil and ocean habitats, indicating the substantial role of biotic interactions in shaping microbial communities. Our results suggest that both competition and environmental filtering affect the abundance, composition and encoded gene functions of bacterial and fungal communities, indicating that the relative contributions of these microorganisms to global nutrient cycling varies spatially.	"[{""db"": ""pubmed"", ""id"": ""30069051""}]"	1	1076317	540311134	323770213	2018-07-04 10:39:43	251	0	251	0
ERR1877653	PRJEB18701	0.602	WGS	RANDOM	Illumina HiSeq 2500	S032	soil metagenome	ERX1938178	Illumina HiSeq 2500 paired end sequencing	unspecified	METAGENOMIC	European Nucleotide Archive	ERP020652	ena-STUDY-EMBL-20-12-2016-23:03:59:861-399	WorldSoil	European Molecular Biology Laboratory						 			SAMEA103892590	ERS1581758	2018-05-31T17:02:46Z	2017-03-06T16:33:20Z	SAMEA103892590	EMBL	2018-05-31T17:02:46Z	2017-03-06T16:33:20Z	public	S032	2014/2015	Temperate_deciduous_forests	-	soil	Russia	0	0	43.10035	131.55774	metagenome	18S metabarcoding data of global soil samples	S032	soil metagenome	Illumina	soil	Global analysis of soil microbiomes		Soils harbour some of the most diverse microbiomes on Earth and are essential for both nutrient cycling and carbon storage. To understand soil functioning, it is necessary to model the global distribution patterns and functional gene repertoires of soil microorganisms, as well as the biotic and environmental associations between the diversity and structure of both bacterial and fungal soil communities. Here we show, by leveraging metagenomics and metabarcoding of global topsoil samples (189 sites, 7,560 subsamples), that bacterial, but not fungal, genetic diversity is highest in temperate habitats and that microbial gene composition varies more strongly with environmental variables than with geographic distance. We demonstrate that fungi and bacteria show global niche differentiation that is associated with contrasting diversity responses to precipitation and soil pH. Furthermore, we provide evidence for strong bacterialâfungal antagonism, inferred from antibiotic-resistance genes, in topsoil and ocean habitats, indicating the substantial role of biotic interactions in shaping microbial communities. Our results suggest that both competition and environmental filtering affect the abundance, composition and encoded gene functions of bacterial and fungal communities, indicating that the relative contributions of these microorganisms to global nutrient cycling varies spatially.	"[{""db"": ""pubmed"", ""id"": ""30069051""}]"	1	1199145	601970790	351175209	2018-07-04 10:39:43	251	0	251	0
ERR1877654	PRJEB18701	0.554	WGS	RANDOM	Illumina HiSeq 2500	AV120	soil metagenome	ERX1938179	Illumina HiSeq 2500 paired end sequencing	unspecified	METAGENOMIC	European Nucleotide Archive	ERP020652	ena-STUDY-EMBL-20-12-2016-23:03:59:861-399	WorldSoil	European Molecular Biology Laboratory						 			SAMEA103892440	ERS1581608	2018-05-31T17:02:46Z	2017-03-06T16:33:16Z	SAMEA103892440	EMBL	2018-05-31T17:02:46Z	2017-03-06T16:33:16Z	public	AV120	2014/2015	Moist_tropical_forests	-	soil	Colombia	0	0	-3.9997	-69.8947	metagenome	18S metabarcoding data of global soil samples	AV120	soil metagenome	Illumina	soil	Global analysis of soil microbiomes		Soils harbour some of the most diverse microbiomes on Earth and are essential for both nutrient cycling and carbon storage. To understand soil functioning, it is necessary to model the global distribution patterns and functional gene repertoires of soil microorganisms, as well as the biotic and environmental associations between the diversity and structure of both bacterial and fungal soil communities. Here we show, by leveraging metagenomics and metabarcoding of global topsoil samples (189 sites, 7,560 subsamples), that bacterial, but not fungal, genetic diversity is highest in temperate habitats and that microbial gene composition varies more strongly with environmental variables than with geographic distance. We demonstrate that fungi and bacteria show global niche differentiation that is associated with contrasting diversity responses to precipitation and soil pH. Furthermore, we provide evidence for strong bacterialâfungal antagonism, inferred from antibiotic-resistance genes, in topsoil and ocean habitats, indicating the substantial role of biotic interactions in shaping microbial communities. Our results suggest that both competition and environmental filtering affect the abundance, composition and encoded gene functions of bacterial and fungal communities, indicating that the relative contributions of these microorganisms to global nutrient cycling varies spatially.	"[{""db"": ""pubmed"", ""id"": ""30069051""}]"	1	1103543	553978586	310942250	2018-07-04 10:39:43	251	0	251	0
ERR1877655	PRJEB18701	0.124	WGS	RANDOM	Illumina HiSeq 2500	AV120	soil metagenome	ERX1938180	Illumina HiSeq 2500 paired end sequencing	unspecified	METAGENOMIC	European Nucleotide Archive	ERP020652	ena-STUDY-EMBL-20-12-2016-23:03:59:861-399	WorldSoil	European Molecular Biology Laboratory						 			SAMEA103892440	ERS1581608	2018-05-31T17:02:46Z	2017-03-06T16:33:16Z	SAMEA103892440	EMBL	2018-05-31T17:02:46Z	2017-03-06T16:33:16Z	public	AV120	2014/2015	Moist_tropical_forests	-	soil	Colombia	0	0	-3.9997	-69.8947	metagenome	18S metabarcoding data of global soil samples	AV120	soil metagenome	Illumina	soil	Global analysis of soil microbiomes		Soils harbour some of the most diverse microbiomes on Earth and are essential for both nutrient cycling and carbon storage. To understand soil functioning, it is necessary to model the global distribution patterns and functional gene repertoires of soil microorganisms, as well as the biotic and environmental associations between the diversity and structure of both bacterial and fungal soil communities. Here we show, by leveraging metagenomics and metabarcoding of global topsoil samples (189 sites, 7,560 subsamples), that bacterial, but not fungal, genetic diversity is highest in temperate habitats and that microbial gene composition varies more strongly with environmental variables than with geographic distance. We demonstrate that fungi and bacteria show global niche differentiation that is associated with contrasting diversity responses to precipitation and soil pH. Furthermore, we provide evidence for strong bacterialâfungal antagonism, inferred from antibiotic-resistance genes, in topsoil and ocean habitats, indicating the substantial role of biotic interactions in shaping microbial communities. Our results suggest that both competition and environmental filtering affect the abundance, composition and encoded gene functions of bacterial and fungal communities, indicating that the relative contributions of these microorganisms to global nutrient cycling varies spatially.	"[{""db"": ""pubmed"", ""id"": ""30069051""}]"	1	246414	123699828	71700567	2018-07-04 10:39:43	251	0	251	0
ERR1877656	PRJEB18701	0.51	WGS	RANDOM	Illumina HiSeq 2500	S049	soil metagenome	ERX1938181	Illumina HiSeq 2500 paired end sequencing	unspecified	METAGENOMIC	European Nucleotide Archive	ERP020652	ena-STUDY-EMBL-20-12-2016-23:03:59:861-399	WorldSoil	European Molecular Biology Laboratory						 			SAMEA103892597	ERS1581765	2018-05-31T17:02:46Z	2017-03-06T16:33:21Z	SAMEA103892597	EMBL	2018-05-31T17:02:46Z	2017-03-06T16:33:21Z	public	S049	2014/2015	Moist_tropical_forests	-	soil	USA	0	0	18.32096	-65.81974	metagenome	18S metabarcoding data of global soil samples	S049	soil metagenome	Illumina	soil	Global analysis of soil microbiomes		Soils harbour some of the most diverse microbiomes on Earth and are essential for both nutrient cycling and carbon storage. To understand soil functioning, it is necessary to model the global distribution patterns and functional gene repertoires of soil microorganisms, as well as the biotic and environmental associations between the diversity and structure of both bacterial and fungal soil communities. Here we show, by leveraging metagenomics and metabarcoding of global topsoil samples (189 sites, 7,560 subsamples), that bacterial, but not fungal, genetic diversity is highest in temperate habitats and that microbial gene composition varies more strongly with environmental variables than with geographic distance. We demonstrate that fungi and bacteria show global niche differentiation that is associated with contrasting diversity responses to precipitation and soil pH. Furthermore, we provide evidence for strong bacterialâfungal antagonism, inferred from antibiotic-resistance genes, in topsoil and ocean habitats, indicating the substantial role of biotic interactions in shaping microbial communities. Our results suggest that both competition and environmental filtering affect the abundance, composition and encoded gene functions of bacterial and fungal communities, indicating that the relative contributions of these microorganisms to global nutrient cycling varies spatially.	"[{""db"": ""pubmed"", ""id"": ""30069051""}]"	1	1015637	509849774	300754159	2018-07-04 10:39:43	251	0	251	0
ERR1877657	PRJEB18701	0.316	WGS	RANDOM	Illumina HiSeq 2500	S190	soil metagenome	ERX1938182	Illumina HiSeq 2500 paired end sequencing	unspecified	METAGENOMIC	European Nucleotide Archive	ERP020652	ena-STUDY-EMBL-20-12-2016-23:03:59:861-399	WorldSoil	European Molecular Biology Laboratory						 			SAMEA103892550	ERS1581718	2018-05-31T17:02:46Z	2017-03-06T16:33:19Z	SAMEA103892550	EMBL	2018-05-31T17:02:46Z	2017-03-06T16:33:19Z	public	S190	2014/2015	Savannas	-	soil	Democratic Republic of the Congo	0	0	-11.4795	27.6624	metagenome	18S metabarcoding data of global soil samples	S190	soil metagenome	Illumina	soil	Global analysis of soil microbiomes		Soils harbour some of the most diverse microbiomes on Earth and are essential for both nutrient cycling and carbon storage. To understand soil functioning, it is necessary to model the global distribution patterns and functional gene repertoires of soil microorganisms, as well as the biotic and environmental associations between the diversity and structure of both bacterial and fungal soil communities. Here we show, by leveraging metagenomics and metabarcoding of global topsoil samples (189 sites, 7,560 subsamples), that bacterial, but not fungal, genetic diversity is highest in temperate habitats and that microbial gene composition varies more strongly with environmental variables than with geographic distance. We demonstrate that fungi and bacteria show global niche differentiation that is associated with contrasting diversity responses to precipitation and soil pH. Furthermore, we provide evidence for strong bacterialâfungal antagonism, inferred from antibiotic-resistance genes, in topsoil and ocean habitats, indicating the substantial role of biotic interactions in shaping microbial communities. Our results suggest that both competition and environmental filtering affect the abundance, composition and encoded gene functions of bacterial and fungal communities, indicating that the relative contributions of these microorganisms to global nutrient cycling varies spatially.	"[{""db"": ""pubmed"", ""id"": ""30069051""}]"	1	629797	316158094	187194867	2018-07-04 10:39:43	251	0	251	0
ERR1877658	PRJEB18701	0.207	WGS	RANDOM	Illumina HiSeq 2500	G2645	soil metagenome	ERX1938183	Illumina HiSeq 2500 paired end sequencing	unspecified	METAGENOMIC	European Nucleotide Archive	ERP020652	ena-STUDY-EMBL-20-12-2016-23:03:59:861-399	WorldSoil	European Molecular Biology Laboratory						 			SAMEA103892449	ERS1581617	2018-05-31T17:02:46Z	2017-03-06T16:33:16Z	SAMEA103892449	EMBL	2018-05-31T17:02:46Z	2017-03-06T16:33:16Z	public	G2645	2014/2015	Mediterrean	-	soil	Australia	0	0	-35.00227	116.65217	metagenome	18S metabarcoding data of global soil samples	G2645	soil metagenome	Illumina	soil	Global analysis of soil microbiomes		Soils harbour some of the most diverse microbiomes on Earth and are essential for both nutrient cycling and carbon storage. To understand soil functioning, it is necessary to model the global distribution patterns and functional gene repertoires of soil microorganisms, as well as the biotic and environmental associations between the diversity and structure of both bacterial and fungal soil communities. Here we show, by leveraging metagenomics and metabarcoding of global topsoil samples (189 sites, 7,560 subsamples), that bacterial, but not fungal, genetic diversity is highest in temperate habitats and that microbial gene composition varies more strongly with environmental variables than with geographic distance. We demonstrate that fungi and bacteria show global niche differentiation that is associated with contrasting diversity responses to precipitation and soil pH. Furthermore, we provide evidence for strong bacterialâfungal antagonism, inferred from antibiotic-resistance genes, in topsoil and ocean habitats, indicating the substantial role of biotic interactions in shaping microbial communities. Our results suggest that both competition and environmental filtering affect the abundance, composition and encoded gene functions of bacterial and fungal communities, indicating that the relative contributions of these microorganisms to global nutrient cycling varies spatially.	"[{""db"": ""pubmed"", ""id"": ""30069051""}]"	1	411966	206806932	113127806	2018-07-04 10:39:43	251	0	251	0
ERR1877659	PRJEB18701	0.482	WGS	RANDOM	Illumina HiSeq 2500	G3308	soil metagenome	ERX1938184	Illumina HiSeq 2500 paired end sequencing	unspecified	METAGENOMIC	European Nucleotide Archive	ERP020652	ena-STUDY-EMBL-20-12-2016-23:03:59:861-399	WorldSoil	European Molecular Biology Laboratory						 			SAMEA103892501	ERS1581669	2018-05-31T17:02:46Z	2017-03-06T16:33:18Z	SAMEA103892501	EMBL	2018-05-31T17:02:46Z	2017-03-06T16:33:18Z	public	G3308	2014/2015	Temperate_deciduous_forests	-	soil	Estonia	0	0	58.30122	21.936	metagenome	18S metabarcoding data of global soil samples	G3308	soil metagenome	Illumina	soil	Global analysis of soil microbiomes		Soils harbour some of the most diverse microbiomes on Earth and are essential for both nutrient cycling and carbon storage. To understand soil functioning, it is necessary to model the global distribution patterns and functional gene repertoires of soil microorganisms, as well as the biotic and environmental associations between the diversity and structure of both bacterial and fungal soil communities. Here we show, by leveraging metagenomics and metabarcoding of global topsoil samples (189 sites, 7,560 subsamples), that bacterial, but not fungal, genetic diversity is highest in temperate habitats and that microbial gene composition varies more strongly with environmental variables than with geographic distance. We demonstrate that fungi and bacteria show global niche differentiation that is associated with contrasting diversity responses to precipitation and soil pH. Furthermore, we provide evidence for strong bacterialâfungal antagonism, inferred from antibiotic-resistance genes, in topsoil and ocean habitats, indicating the substantial role of biotic interactions in shaping microbial communities. Our results suggest that both competition and environmental filtering affect the abundance, composition and encoded gene functions of bacterial and fungal communities, indicating that the relative contributions of these microorganisms to global nutrient cycling varies spatially.	"[{""db"": ""pubmed"", ""id"": ""30069051""}]"	1	959782	481810564	284475933	2018-07-04 10:39:43	251	0	251	0
